电影名称,导演,演员,类型,简介,上映时间,头图
子不语：夜行郎,许飞青,孙启恒 廉赛 李明 舒耀瑄 王一一 丁立 顾婉靖,剧情 动作 奇幻 古装,"子不语，怪力乱神！电影《子不语：夜行郎》是根据奇幻志怪小说《子不语》改编。
                                    
                                　　本片讲述在光怪陆离的世界里，小铁匠陆离被命运的车轮裹挟着前行的故事。 遭遇了新婚妻子身故，逃离家乡的陆离在机缘巧合之下，成为了一名受人敬仰的夜行郎。七年后，陆离回到了家乡，除掉了竭水致旱的传说之妖旱魃的同时，他发现原来当年妻子的死因背后，竟然隐藏着一个巨大的阴谋。 然而在探寻亡妻死因真相的过程中，又一位女子为了救陆离而亡。新仇旧恨加身，大喊着“这夜行郎，我不当也罢！”的陆离，又该何去何从？",2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896913481.jpg
入棺,海涛,刘智扬 彭静 李萍 刘继勋,惊悚 恐怖,上有老下有小，承包的快递站还意外失火面临赔偿。中年危机压身、走投无路的马远皓在母亲的力荐之下拜求大师解命劫。 马远皓亲自入棺躺平息怨气，家里的变故暂时获得改观。哪曾想，改观竟是昙花一现，马家老宅背后还有不可告人的秘密。事情真的是这样吗，就在马远皓用尽一切办法改变命运时，才发现这一切的背后竟是.....,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2887696497.jpg
法拉利 Ferrari,迈克尔·曼,亚当·德赖弗 佩内洛普·克鲁兹 谢琳·伍德蕾 莎拉·加顿 加布里埃尔·利昂纳 杰克·奥康奈尔 帕特里克·德姆西 瓦伦蒂娜·贝莱 马西·弗伦 托马索·巴西利 埃里克·豪根 布雷特·斯姆兹 彼得·阿佩塞拉 利诺· 穆塞拉 朱塞佩·博尼法蒂 安德烈亚·布鲁斯基 安德烈·多伦特 卢卡·德拉·瓦莱 艾格尼丝·布里吉蒂尼 朱塞佩·鲁索 怀亚特·卡内尔 米歇尔·萨沃亚 塞缪尔·胡比内特 莱昂纳多·凯米 詹菲利波·格拉索 亚历克斯·通蒂,剧情 传记 历史,"该片聚焦在1957年的夏天，讲述了法拉利与玛莎拉蒂争夺赛道霸主地位的传奇故事。一天早上，前赛车手恩佐·法拉利的妻子接到两通电话，被告知让·贝拉刚刚从米兰过夜赶来。发现法拉利并不在家中，妻子劳拉十分恼火，因为两人一直在维系着名存实亡的婚姻，他们约定每天早上必须准时一起喝咖啡。当法拉利得知，贝拉此次专程来米兰，就是为了挑战法拉利的赛车记录，他打电话向朋友莫所里尼求助。气急败坏的妻子直接向法拉利开枪，她告诉法拉利，他们的公司将要破产。他们的儿子迪诺两年前死于肌肉萎缩症。当法拉利在教堂和墓地沉浸于失落和悲伤的情绪中时，贝拉已经在赛道上蓄势待发。意外不断，他的赛道好友莫所里尼不幸去世。法拉利别无选择，必须迎战危险的米尔·米利亚，拿到赞助资金。米尔·米利亚赛程艰辛，途径山谷、树林、草地、急流，遭遇暴雪等极端天气，到处充满着危险，一路上法拉利与玛莎拉蒂等赛车经历激...
                            
(展开全部)",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902319780.jpg
孤军,杨虎,凌潇肃 小沈阳 刘之冰 岳红 郑昊 黄少祺 吕星辰,剧情 历史 战争,本片根据发生在四川省宜宾市兴文县的真实历史故事改编。讲述了红军川滇黔边游击纵队在极其艰苦的条件下，积极开展游击战争，怀着与敌人同归于尽的决心，前仆后继与数倍甚至数十倍于己的敌人殊死拼杀、血战到底，以几乎全军牺牲的巨大代价完成策应中央红军和红二、六军团战略转移的光荣使命的故事。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2901533664.jpg
兴安岭猎人2轮回森林,刘轩狄,尚铁龙 林枫烨 王蕴凡 田璐 滕宇飞 马文波 张喜前 马仑,剧情 动作 悬疑 惊悚 冒险,刘二爷结识了青年记者李季星之后的故事。为了满足旧相识“吴老把头”的遗愿，刘二爷带领李季星出发胭脂沟，却在赶路时惊闻“鬼虎作怅”和“鸟怪食人”的传说，虽然刘二爷从不信鬼神之事，但他不忍无辜村民受难，解密真相的同时，也扯下了阴谋网的一角……,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896560145.jpg
美猴王 The Monkey King,安东尼·斯塔基,欧阳万成 杨伯文 朱莉·黄·拉帕波特 乔·科伊 袁文忠 李楠 许玮伦 苏菲·吴 李勋 安德鲁·基希诺 乔迪·朗 黄荣亮 迪·布拉雷·贝克尔 罗伯特·吴 大卫·陈 詹姆士·谢 基兰·里根 阿尔忒弥斯·斯诺 Kaiji Tang Andrew Pang,喜剧 动作 动画 奇幻 冒险,《美猴王》是一部充满打斗场面的家庭喜剧，讲述了一只魅力十足的猴子手持金箍棒过五关斩六将，与上百个妖魔鬼怪以及龙王正面交锋，并直面最大的敌人 — 他自己！在此期间，一位年轻的乡村女孩逐渐瓦解了他以自我为中心的态度，并向他展示即使是最小的鹅卵石也能对世界产生巨大影响。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2892142845.jpg
纸新娘,陈思铭 叶统,陈信喆 王子甲 车保罗 刘亚津 韩梦武 沈鑫 曹阳,剧情 惊悚 恐怖,"故事发生在民国初年，清宝村的马家正在操持一场诡异的婚礼。马家大孙子意外去世，为了不让孙子在另一个世界孤单，并确保马家香火绵延永续，马家请来法师道长（车保罗 饰），为孙子张罗一场冥婚。冥婚对象是纸糊的逼真纸人，哪知却由此惹出无数祸端。未成年的二孙子马不快在婚礼前不小心将纸人弄到，鲜血沾到了纸人脸上。纸糊匠和巫婆企图蒙混过关，谁想到婚礼现场，纸人突然自行走动，缠上了马不快。
                                    
                                　　转眼十数年过去，成年的马不快已经有了情投意合的恋人，并且到了谈婚论嫁的时候。可是令他想不到的是，十多年前那个恐怖纸人似乎一直在等着他的到来……",2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2901333358.jpg
午夜出走 The Last Year of Darkness,本·穆林克松,,纪录片,随着成都逐渐变成中国最大最繁华的城市之一，本地年轻人喜爱的Funky Town——一家电音俱乐部的未来却尚不明朗。对于一群充满活力却时常被边缘化的DJ、艺术家、变装皇后、情侣、狂欢者和滑板仔来说，这里是地下派对的避难所，让他们在黑夜尽情狂欢，直到天明，看到太阳升起。这可能是唯一一个能让他们接受真实的自己的地方，而他们却在白天逃避各种各样的问题。随着Funky Town周边出现巨大的起重机，建筑工人开始占领城市的每个角落，这些年轻人知道，留给他们的时间不多了。他们将被迫面对当初让他们来到这个俱乐部的原因，并在这块宝地变成地铁站之前争分夺秒地狂欢。《午夜出走》是一部关于成长的电影，它是献给成都的情书，也歌颂青春的短暂——从爱到失去，从呕吐到清醒。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889593485.jpg
东北五仙,李亚东,王奎荣 安泽豪 范雷 萧松原 字马妘奕 何其炜 崔永炫 王李丹鈮 路顺 王飞,悬疑 惊悚,清末民初，奉天省的赵家村频现怪事，村中富绅竟因除鼠被民问传说的灰仙降罪，其弟孙耀生为救兄长便祈求参把头老白搭以及村长和一小家丁来福一同上山采参，却怎料五仙降罪的诡事也逐个集齐，直到他们进入那间破败的五仙庙后，真相才随之浮出水……,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2890384162.jpg
寻龙诀：生死门,代艺霖,赵达 刘天佐 颜卓灵 周大勇 楼南光 柯国庆,惊悚 奇幻 冒险,警长巴颂为救妻子找到发丘天官，希望金盆洗手的他们能够出山寻找鬼参救人，小满、大暑、白露等人也跟随师父来到墓地，谁知半路遇到歹人火拼起来，只有徒弟三人冒险逃脱。为给师父报仇，三人答应德国商人穆勒一起进入墓室，却只有白露一人触动了时光倒流机关回到过去，历经再次轮回，师兄妹三人死伤惨重，而其实这一切竟是三人为解救师父的女儿编造的谎言，真相也更加扑朔迷离,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2901583759.jpg
斗破苍穹·止戈,赵小丁,马伯骞 李九霄 姜武 高曙光 胡静 黄雯 夏若妍 东靖川 国义骞 赵亦骥 于越 王羽铮,剧情 动作 奇幻,"为了赢得和云岚宗大弟子纳兰嫣然（靳阳阳）的三年之约，萧炎（马伯骞 饰演）和药老（高曙光 饰演）来到蛇族沙漠，寻找传说中的异火——青莲地心火，借此提升实力。
                                    
                                　　在蛇族沙漠中，意外卷入人族和蛇人族的种族斗争中，蛇人族女皇彩鳞（夏若妍 饰演）正为晋升斗宗而闭关，刚好给了萧炎可乘之机。于是萧炎联合青鳞（黄雯 饰演）和穆力（李九霄）饰演，一起潜入到蛇人族地宫，刚巧，美杜莎因为吸收异火而走火入魔，萧炎不费吹灰之力得到了梦寐以求的“青莲地心火”。而在城外，人族和蛇人族的旷世种族大战正在上演......",2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2911295021.jpg
江苏卫视更好2024跨年演唱会 江苏卫视2024跨年演唱会,,鞠婧祎 邓紫棋 张靓颖 李宇春 孟子义 周深 林俊杰 薛之谦 毛不易 周华健 陶喆 单依纯,音乐 真人秀,2024扛鼎之夜，跨年夜唱响澳门，突破传统超现未来，对话梦想唱越时空，打造一台纵贯古今联结中外的盛大晚会。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2902454865.jpg
王牌替身,张泰维 魏玉海,吴樾 童飞 孙越 洪天照 叨叨 洪金宝 唐人 黄博斯 张泰维 大能,剧情 动作,影片讲述了一心追梦的中年废柴替身演员王梓踏上一场危机重重又笑料不断的冒险之旅。 人到中年的武打替身王梓，在事业和婚姻上都遭逢低谷。王梓一心想要改变现状，于是通过朋友冯朗接了急活，即使带伤也要继续当替身挨打赚钱。王梓在向前妻米茜争取女儿抚养权的过程中，女儿却意外被绑架。王梓冲破重重阻碍，和前妻、朋友一起营救女儿，此时王梓一行人得知发明家赵大宝与小志绑架女儿的原因，原来真正图谋不轨的另有其人…… 一场小人物逆风翻盘之旅正式开启，看高手过招，专治不服！,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892341900.jpg
狂怒沙暴 Hidden Strike,斯科特·沃,成龙 约翰·塞纳 马心瑞 蒋雯丽 徐佳 龚俊 瑞玛·席丹 侯明昊 皮鲁·埃斯贝克 阿马迪厄斯·塞拉菲尼 哈尼·阿德尔 蒂姆·曼 瑞秋·霍洛威 谢乐直 李·黄 马文·布韦 火线 巴萨姆·哈亚提,喜剧 动作 惊悚 冒险,成龙和约翰·塞纳将主演未定名动作惊悚新片，原主演史泰龙已退出，电影名称暂定为《Project X》，斯科特·沃(《极品飞车》《雪山奇迹》)执导。成龙饰演一名中国私人保安承包商，当中国在中东的一家炼油厂遭到袭击时，该承包商被召来营救当地的石油工人，随后他意识到攻击者的真正计划是窃取石油财富，他与 一位前海军陆战队队员(塞纳)合作阻止他们。成龙和Joe Tam、Esmond Ren、Hans Canosa联合制片。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896071594.jpg
当我走近你的时候,刘雅琴,,纪录片 家庭,我和妈妈一直生活在同一屋檐下，但我们吵闹的生活中却始终蹲伏着一个巨大的沉默，它像一头巨兽，似乎随时会苏醒，将一切撕碎。这次，我尝试着拿起摄影机，向这头沉默的巨兽开战。,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2892725575.jpg
深潭往事,赵晋仪,付美 杜雨宸 郭迦南,悬疑 惊悚,美人潭镇女戏子美林受尽欺凌，渴望改变命运。当大军阀听闻美人潭的传说后，前来寻求仪式实现梦想。他诱骗美林并将她推入美人潭，美林幸存但被生死草感染，成为嗜血怪物，她吸引并吞噬那些对她图谋不轨的男人。闺蜜银杏觉察到美林的变化，她的病情日益恶化，二十天后将成为不死僵尸。随着真相揭示，银杏和美林将面临何种命运的抉择……,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902534219.jpg
斗罗大陆：双神大战,金蕾,,剧情 动画 奇幻,动画《斗罗大陆》剧场版正在筹备中，巅峰之战即将到来，属于唐三的终极之战你们都期待了吗？海神归位对决双神，一起静待吧！,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2911884473.jpg
失而复得,刘十六,张亮 辛芷蕾 大力 李易祥 王德顺 韩鹏翼 刘显达 甘昀宸 王磊 王今心 韩志 侯祥 伏夏 吴樾 李诚儒 李菁 刘仪伟 赵英俊 李依玲 韩兆 李彧 赵韦至 王亚楠 樊野,喜剧 悬疑 犯罪,如果有一百万美金放在你面前，你会想要得到它吗？出国归来的张博（张亮 饰）受人之托，要将百万美金送出境，同时青梅竹马的冯乐琪（辛芷蕾 饰）正在竭力调查一起假币案。两人连同各阶层爱财之人，意外卷入百万美金的陷阱中。真真假假的钞票、虚虚实实的情愫，每个人都成了局中人，一场好戏正在上演。,2023,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2898114531.jpg
狄仁杰之雷火玄龙,张昊博  杨帅,白那日苏、柳楚玄、章小军、苏琳、张海龙、李子豪,动作 悬疑 惊悚 犯罪 古装,"渺渺长安风玻不断，权力的游戏从未平息
                                    
                                　　冷兵器的初唐潜伏焚城诡术，玄龙出没之处，一片生灵涂炭
                                    
                                　　此时，武则天还未称帝，大理寺还是朝廷的屠刀
                                    
                                　　狄仁杰还是恋爱中的少年
                                    
                                　　而一场席卷长安与后世的少年种探传奇正在书写",2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901947957.jpg
